"key","context","en","zh-CN","zh-TW","status"
"lobby.practiceInstead","Leave queue for practice action","Practice instead","改为练习","改為練習","ai_draft"
"lobby.leavingQueue","Queue cancellation progress","Leaving queue…","正在离开队列…","正在離開佇列…","ai_draft"
"lobby.ticket","Matchmaking ticket identifier","Ticket: {id}","匹配票：{id}","配對票：{id}","ai_draft"
"lobby.matchFound","Successful matchmaking status","Match found","已找到对局","已找到對局","ai_draft"
"lobby.joiningTable","Automatic table-join progress","Joining the shared table automatically…","正在自动加入共享牌桌…","正在自動加入共用牌桌…","ai_draft"
"lobby.retryJoin","Retry joining matched table","Retry joining table","重试加入牌桌","重試加入牌桌","ai_draft"
"lobby.agsNoSession","AGS matchmaking result missing a Session","AGS returned a match without a Session yet.","AGS 已返回匹配结果，但尚未创建会话。","AGS 已傳回配對結果，但尚未建立工作階段。","ai_draft"
"lobby.retryLeaveQueue","Retry matchmaking cancellation","Retry leaving queue","重试离开队列","重試離開佇列","ai_draft"
"lobby.retryReleaseJade","Retry Jade reservation release","Retry releasing Jade","重试释放玉","重試釋放玉","ai_draft"
"lobby.retryMatchmaking","Retry matchmaking","Retry matchmaking","重试匹配","重試配對","ai_draft"
"lobby.submitFeedback","Feedback navigation action","Submit Feedback","提交反馈","提交意見","ai_draft"
"lobby.feedbackHelp","Feedback navigation description","Share gameplay, connection, or UI feedback","分享关于玩法、连接或界面的反馈","分享關於玩法、連線或介面的意見","ai_draft"
"lobby.settingsHelp","Settings navigation description","Rules, tutorial visibility, and privacy","规则、教程显示和隐私","規則、教學顯示與隱私","ai_draft"
"tier.bamboo","Canonical Bamboo Courtyard lobby name","Bamboo Courtyard","翠竹庭","翠竹庭","ai_draft"
"tier.sparrow","Canonical Sparrow Pavilion lobby name","Sparrow Pavilion","雀鸟阁","雀鳥閣","ai_draft"
"tier.windCloud","Canonical Wind and Cloud Lounge lobby name","Wind and Cloud Lounge","风云厅","風雲廳","ai_draft"
"tier.dragon","Canonical Dragon's Den lobby name","Dragon's Den","龙穴","龍穴","ai_draft"
"tier.summary","Jade tier entry and loss terms","{minimum} Jade minimum · {stake} per Tai · {cap} maximum loss","最低 {minimum} 玉 · 每台 {stake} 玉 · 最大损失 {cap} 玉","最低 {minimum} 玉 · 每台 {stake} 玉 · 最大損失 {cap} 玉","ai_draft"
"queue.searching","Initial matchmaking queue status","Searching for players.","正在寻找玩家。","正在尋找玩家。","ai_draft"
"queue.normal","Normal matchmaking queue status","Still searching. A table needs four players.","仍在寻找玩家。一张牌桌需要四名玩家。","仍在尋找玩家。一張牌桌需要四名玩家。","ai_draft"
"queue.slow","Slow matchmaking queue explanation","This is taking longer than usual. Four players are needed and nobody is filled in by a bot.","等待时间比平时更长。需要四名玩家，电脑不会补位。","等待時間比平時更長。需要四名玩家，電腦不會補位。","ai_draft"
"queue.seconds","Elapsed matchmaking queue time in seconds","{seconds}s in queue","已排队 {seconds} 秒","已排隊 {seconds} 秒","ai_draft"
"queue.minutes","Elapsed matchmaking queue time in minutes and seconds","{minutes}m {seconds}s in queue","已排队 {minutes} 分 {seconds} 秒","已排隊 {minutes} 分 {seconds} 秒","ai_draft"
"party.eyebrow","Party panel category","Party","队伍","隊伍","ai_draft"
"party.title","Party panel title","Play together","一起游玩","一起遊玩","ai_draft"
"party.loading","Party loading status","Loading party…","正在加载队伍…","正在載入隊伍…","ai_draft"
"party.description","Party purpose explanation","Start a party and invite friends, and you will all be seated at the same table. A party of four fills a table on its own.","创建队伍并邀请好友，所有成员都会坐在同一张牌桌。四人队伍可以直接坐满一桌。","建立隊伍並邀請好友，所有成員都會坐在同一張牌桌。四人隊伍可以直接坐滿一桌。","ai_draft"
"party.starting","Party creation progress","Starting…","正在创建…","正在建立…","ai_draft"
"party.start","Party creation action","Start a party","创建队伍","建立隊伍","ai_draft"
"party.joinCode","Invite-code form label","Or join with an invite code","或使用邀请码加入","或使用邀請碼加入","ai_draft"
"party.enterCode","Invite-code input placeholder","Enter code","输入邀请码","輸入邀請碼","ai_draft"
"party.seats","Party seat count","{count} of 4 seats taken{full}","已占用 {count}/4 个座位{full}","已占用 {count}/4 個座位{full}","ai_draft"
"party.full","Party-full suffix"," · full"," · 已满"," · 已滿","ai_draft"
"party.leader","Party leader role","Leader","队长","隊長","ai_draft"
"party.invited","Pending party invitation role","Invited","已邀请","已邀請","ai_draft"
"party.inviteHelp","Party invitation help","Invite friends from the list below, or share the code.","从下方列表邀请好友，或分享邀请码。","從下方清單邀請好友，或分享邀請碼。","ai_draft"
"party.inviteCode","Party invite code","Invite code: {code}","邀请码：{code}","邀請碼：{code}","ai_draft"
"party.getCode","Generate invite code action","Get an invite code","获取邀请码","取得邀請碼","ai_draft"
"party.leave","Leave party action","Leave party","离开队伍","離開隊伍","ai_draft"
"upgrade.created","Guest-account upgrade success","Account created","账号已创建","帳號已建立","ai_draft"
"upgrade.createdDetail","Guest-account upgrade success detail","You can now sign in with {email} on any device. Your Jade, rating, and progression stayed with this account.","现在可以在任何设备上使用 {email} 登录。你的玉、评分和成长进度均保留在此账号中。","現在可以在任何裝置上使用 {email} 登入。你的玉、評分與成長進度均保留在此帳號中。","ai_draft"
"upgrade.guest","Guest-account upgrade category","Playing as a guest","正在以访客身份游玩","正在以訪客身分遊玩","ai_draft"
"upgrade.keepProgress","Guest-account upgrade title","Keep this progress","保留当前进度","保留目前進度","ai_draft"
"upgrade.detail","Guest-account upgrade explanation","Add an email and password to this account. Your Jade, rating, and progression stay exactly as they are — a full account just means you can sign back in from another device, or after clearing this browser's storage.","为此账号添加电子邮箱和密码。你的玉、评分和成长进度会原样保留；完整账号只是让你能在其他设备上，或清除浏览器存储后重新登录。","為此帳號新增電子郵件與密碼。你的玉、評分與成長進度會原樣保留；完整帳號只是讓你能在其他裝置上，或清除瀏覽器儲存空間後重新登入。","ai_draft"
"upgrade.fullAccount","Open guest-account upgrade form","Create a full account","创建完整账号","建立完整帳號","ai_draft"
"upgrade.notNow","Dismiss guest-account upgrade","Not now","暂时不要","暫時不要","ai_draft"
"upgrade.confirmAge","Age-gate validation","Confirm your age to continue.","请确认年龄后继续。","請確認年齡後繼續。","ai_draft"
"upgrade.enterBirth","Age-gate validation","Enter your birth month and year.","请输入出生月份和年份。","請輸入出生月份與年份。","ai_draft"
"upgrade.minimumAge","Age-gate minimum-age validation","You must be at least {age} years old to create an account.","你必须年满 {age} 岁才能创建账号。","你必須年滿 {age} 歲才能建立帳號。","ai_draft"
"feedback.help","Feedback screen category","Help improve Mahjong","帮助改进麻将","協助改善麻將","ai_draft"
"feedback.report","Issue report screen title","Report Issues","报告问题","回報問題","ai_draft"
"feedback.submitTitle","Feedback screen title","Submit Feedback","提交反馈","提交意見","ai_draft"
"feedback.thanks","Feedback success title","Thank you","谢谢","謝謝","ai_draft"
"feedback.saved","Feedback success detail","Your feedback was saved with your account for review.","你的反馈已随账号保存，等待审核。","你的意見已隨帳號儲存，等待審查。","ai_draft"
"feedback.sessionAttached","Feedback attached-session detail","Session {id} was attached automatically.","已自动附上会话 {id}。","已自動附上工作階段 {id}。","ai_draft"
"feedback.done","Close completed feedback flow","Done","完成","完成","ai_draft"
"feedback.sessionId","Session identifier field","Session ID","会话 ID","工作階段 ID","ai_draft"
"feedback.category","Feedback category field","Category","类别","類別","ai_draft"
"feedback.gameplay","Feedback category","Gameplay","游戏玩法","遊戲玩法","ai_draft"
"feedback.connection","Feedback category","Connection or loading","连接或加载","連線或載入","ai_draft"
"feedback.ui","Feedback category","UI or readability","界面或可读性","介面或易讀性","ai_draft"
"feedback.other","Feedback category","Other","其他","其他","ai_draft"
"feedback.summary","Feedback summary field","Short summary","简短摘要","簡短摘要","ai_draft"
"feedback.details","Feedback detail field","What happened?","发生了什么？","發生了什麼事？","ai_draft"
"feedback.saveError","Feedback submission error","Feedback could not be saved. Please try again.","无法保存反馈，请重试。","無法儲存意見，請再試一次。","ai_draft"
"feedback.submitting","Feedback submission progress","Submitting…","正在提交…","正在提交…","ai_draft"
"feedback.submit","Feedback submit action","Submit","提交","提交","ai_draft"
"profile.badgeSlot","Accessible profile tile slot label","Profile slot {slot}","个人资料栏位 {slot}","個人資料欄位 {slot}","ai_draft"
"profile.eyebrow","Profile editor category","Player profile","玩家资料","玩家資料","ai_draft"
"profile.title","Profile editor title","Personalize your player profile","个性化你的玩家资料","個人化你的玩家資料","ai_draft"
"profile.nickname","Profile nickname field","Nickname","昵称","暱稱","ai_draft"
"profile.slot","Profile tile slot tab","Slot {slot}","栏位 {slot}","欄位 {slot}","ai_draft"
"profile.slotPicker","Accessible profile slot picker label","Profile icon slot","个人资料图标栏位","個人資料圖示欄位","ai_draft"
"profile.chooseTile","Accessible tile picker label","Choose slot {slot} tile","选择栏位 {slot} 的牌","選擇欄位 {slot} 的牌","ai_draft"
"profile.useTile","Accessible tile option action; tile name may remain English pending tile glossary review","Use {tile} for slot {slot}","将{tile}用于栏位 {slot}","將{tile}用於欄位 {slot}","ai_draft"
"locked.comingSoon","Future-feature category","Coming soon","即将推出","即將推出","ai_draft"
"locked.title","Future table tiers title","Higher stakes, rewarding progression, and more personalization features to be introduced in the future.","未来将推出更高等级的牌桌、成长奖励和更多个性化功能。","未來將推出更高等級的牌桌、成長獎勵與更多個人化功能。","ai_draft"
"locked.description","Future table tiers description","Preview the higher-stakes tables planned for future releases.","预览未来版本计划推出的高阶牌桌。","預覽未來版本計畫推出的高階牌桌。","ai_draft"
"recovery.eyebrow","Jade recovery category","Jade recovery","玉恢复","玉補助","ai_draft"
"recovery.title","Jade recovery title","Get back to Bamboo","重返翠竹庭","重返翠竹庭","ai_draft"
"recovery.available","Jade recovery unlocked after practice","Your Practice hand unlocked today's recovery. Claim {amount} Jade to return to the {minimum}-Jade Bamboo minimum.","完成练习局后，今天的补助已解锁。领取 {amount} 玉，即可恢复到翠竹庭最低所需的 {minimum} 玉。","完成練習局後，今天的補助已解鎖。領取 {amount} 玉，即可回復到翠竹庭最低所需的 {minimum} 玉。","ai_draft"
"recovery.practiceRequired","Jade recovery practice requirement","Finish one free Practice hand today to unlock a top-up to {minimum} Jade.","今天完成一局免费练习，即可解锁补助，将余额补至 {minimum} 玉。","今天完成一局免費練習，即可解鎖補助，將餘額補至 {minimum} 玉。","ai_draft"
"recovery.claimed","Daily Jade recovery already claimed","Today's recovery has already been used. It resets at 00:00 UTC.","今天的补助已使用，将于 UTC 00:00 重置。","今天的補助已使用，將於 UTC 00:00 重設。","ai_draft"
"recovery.reservation","Jade recovery blocked by reservation","Leave your active table and release its Jade before claiming recovery.","请先离开当前牌桌并释放预留的玉，再领取补助。","請先離開目前牌桌並釋放保留的玉，再領取補助。","ai_draft"
"recovery.unavailable","Jade recovery unknown state","Recovery status is unavailable. Refresh your Jade balance and try again.","无法获取补助状态。请刷新玉余额后重试。","無法取得補助狀態。請重新整理玉餘額後再試一次。","ai_draft"
"recovery.claiming","Jade recovery claim progress","Claiming recovery…","正在领取补助…","正在領取補助…","ai_draft"
"recovery.claim","Claim Jade recovery action","Claim {amount} Jade","领取 {amount} 玉","領取 {amount} 玉","ai_draft"
"tutorial.welcomeEyebrow","Tutorial welcome duration","Beginner tutorial · about 6 minutes","新手教程 · 约 6 分钟","新手教學 · 約 6 分鐘","ai_draft"
"tutorial.welcomeTitle","Tutorial welcome title","Never played Mahjong? Start here.","没玩过麻将？从这里开始。","沒玩過麻將？從這裡開始。","ai_draft"
"tutorial.welcomeLead","Tutorial welcome explanation","No terminology or scoring knowledge is assumed. You will use the real table, but every step is untimed and every mistake is safe.","无需了解任何术语或计分知识。你将使用真实牌桌，但每一步都不限时，犯错也不会受罚。","無須了解任何術語或計分知識。你將使用真實牌桌，但每一步都不限時，犯錯也不會受罰。","ai_draft"
"tutorial.learnLabel","Accessible tutorial roadmap label","What you will learn","你将学到什么","你將學到什麼","ai_draft"
"tutorial.recipeTitle","Tutorial first-hand recipe title","Your whole first-hand recipe","第一局的完整口诀","第一局的完整口訣","ai_draft"
"tutorial.recipe","Tutorial first-hand recipe","Draw one, discard one, build five groups and a pair, then choose Win when the game offers it.","摸一张、打一张，组成五组牌和一个对子；出现“胡牌”时就选择胡牌。","摸一張、打一張，組成五組牌與一個對子；出現「胡牌」時就選擇胡牌。","ai_draft"
"tutorial.start","Start tutorial action","Start with the basics","从基础开始","從基礎開始","ai_draft"
"tutorial.skip","Skip entire tutorial action","Skip the tutorial","跳过教程","略過教學","ai_draft"
"tutorial.complete","Tutorial completion category","Tutorial complete","教程已完成","教學已完成","ai_draft"
"tutorial.ready","Tutorial completion title","You are ready for your first hand.","你已准备好开始第一局。","你已準備好開始第一局。","ai_draft"
"tutorial.completeLead","Tutorial completion explanation","You do not need to memorise the full rulebook. Keep this small checklist beside you and let the table show the legal actions.","你不必背下整本规则。记住这份简短清单，让牌桌提示可用的合法操作。","你不必背下整本規則。記住這份簡短清單，讓牌桌提示可用的合法操作。","ai_draft"
"tutorial.takeTurn","Tutorial completion checklist title","Take a turn","完成回合","完成回合","ai_draft"
"tutorial.takeTurnDetail","Tutorial completion checklist","Draw one tile, then discard one tile.","摸一张牌，然后打一张牌。","摸一張牌，然後打一張牌。","ai_draft"
"tutorial.buildShape","Tutorial completion checklist title","Build the shape","组成牌型","組成牌型","ai_draft"
"tutorial.buildShapeDetail","Tutorial completion checklist","Five groups plus one matching pair.","五组牌加一个对子。","五組牌加一個對子。","ai_draft"
"tutorial.watchReady","Tutorial completion checklist title","Watch the Ready panel","查看听牌面板","查看聽牌面板","ai_draft"
"tutorial.watchReadyDetail","Tutorial completion checklist","It lists the tiles that can complete your hand.","其中列出能让你胡牌的牌。","其中列出能讓你胡牌的牌。","ai_draft"
"tutorial.countTai","Tutorial completion checklist title","Count Tai","计算台数","計算台數","ai_draft"
"tutorial.countTaiDetail","Tutorial completion checklist","Add the pattern lines shown by the game; every win starts at 1.","将游戏列出的牌型台数相加；每次合法胡牌从 1 台起算。","將遊戲列出的牌型台數相加；每次合法胡牌從 1 台起算。","ai_draft"
"tutorial.practiceNext","Tutorial completion next-step guidance","Next, choose Practice vs Bots in the lobby. It is untimed by default and does not affect Jade or rating.","接下来，在大厅选择“与电脑练习”。此模式默认不限时，也不会影响玉或评分。","接下來，在大廳選擇「與電腦練習」。此模式預設不限時，也不會影響玉或評分。","ai_draft"
"tutorial.finish","Finish tutorial action","Finish and return to lobby","完成并返回大厅","完成並返回大廳","ai_draft"
"tutorial.screenLabel","Accessible tutorial screen label","Mahjong tutorial","麻将教程","麻將教學","ai_draft"
"tutorial.instructionLabel","Accessible tutorial instruction panel label","Tutorial instruction","教程说明","教學說明","ai_draft"
"tutorial.lessonProgress","Tutorial lesson and step progress","Lesson {lesson} of {lessons}","第 {lesson} 课，共 {lessons} 课","第 {lesson} 課，共 {lessons} 課","ai_draft"
"tutorial.stepProgress","Tutorial step progress","Step {step} of {steps}","第 {step} 步，共 {steps} 步","第 {step} 步，共 {steps} 步","ai_draft"
"tutorial.exit","Exit tutorial action","Exit tutorial","退出教程","離開教學","ai_draft"
"tutorial.progressLabel","Accessible tutorial progress bar label","Tutorial progress","教程进度","教學進度","ai_draft"
"tutorial.task","Tutorial task label","Your task","你的任务","你的任務","ai_draft"
"tutorial.remember","Tutorial key-point label","Remember","请记住","請記住","ai_draft"
"tutorial.wordsLabel","Accessible tutorial glossary label","New words","新术语","新術語","ai_draft"
